domain,nr_of_mlists,nr_of_localparts
commflowresources.com,1,1
commit.net.cn,3,4
commscope.com,5,12
commsolid.com,1,1
comneon.com,4,5
comprion.com,2,4
compuserve.com,5,6
comsat.com,1,1
comsquare.ch,1,1
comsysmobile.com,2,2
comverse.com,6,7
condat.dk,2,2
condornetworks.com,1,2
conexant.com,5,10
contela.com,1,1
continental-corporation.com,4,4
contineonetwork.se,1,1
convedia.com,2,2
convergelabs.com,1,2
convidawireless.com,11,14
coolgoose.com,1,1
coolpad.com,1,1
cooperw.in,1,1
corecess.com,3,3
cork.cig.mot.com,2,3
corporatetel.com,1,1
cox.com,1,1
cox.net,5,5
cpit.com.cn,2,6
cpslocates.com,1,1
cq.jp.nec.com,1,1
cqcyit.com,1,1
cre701.comm.mot.com,1,1
cricketcommunications.com,1,1
criltechnology.com,1,1
crtc.corp.mot.com,1,1
cs.com,1,1
csc.melco.co.jp,2,2
cselt.it,10,15
csl.snu.ac.kr,1,1
cspire.com,5,5
csr.com,5,6
ctbri.com.cn,9,22
ctd.comsat.com,1,2
ctia.org,2,2
cts-mcs.com,1,1
cttc.cat,1,1
cttc.es,1,1
cursor-system.com,4,5
cwc.nus.edu.sg,2,2
cyber.nsa.gov,1,1
cyber00rn.org,1,1
cygnusbroadband.com,2,2
cynetanetworks.com,2,2
d2mannesmann.de,8,9
d2privat.de,7,11
d2vodafone.de,5,6
da.jp.nec.com,3,4
dacom.net,4,4
daimler.com,1,1
dankook.ac.kr,1,1
dashif.org,1,1
dataconnection.com,1,1
datangmobile.cn,16,69
datangmobile.com,3,4
db-telematik.de,1,1
db.com,1,1
dbsd.com,2,3
ddi.co.jp,1,1
de.bosch.com,12,23
de.gi-de.com,1,1
de.ibm.com,1,1
de.unisys.com,1,1
decom.fee.unicamp.br,2,2
dekra.com,5,11
delcomsys.com,1,1
dellepro.com,1,1
delta.dk,1,1
deol.ru,1,1
dev-lme.pcc.philips.com,2,2
developpement-durable.gouv.fr,3,3
devone.yrp.nttdocomo.co.jp,2,3
devoteam.com,1,1
dh.cit.alcatel.fr,1,1
di.uoa.gr,5,6
digicatapult.org.uk,1,1
digiplug.com,1,1
digital.cabinet-office.gov.uk,1,1
digitalfountain.com,1,2
dilithiumnetworks.com,1,1
dimpt.com,2,2
dish.com,8,20
dit.upm.es,1,1
dk.bosch.com,3,4
dl-huachang.com.cn,1,1
dlr.de,1,1
dnf-consulting.co.uk,4,4
docomo-lab.com,2,5
docomo-tech.co.jp,2,2
docomo.fr,6,8
docomoinnovations.com,3,3
docomolab-euro.com,12,29
docomolabs-beijing.com.cn,5,6
docomonet.jp,1,1
dolby.com,6,17
dreamwiz.com,1,1
dsp.cl.nec.co.jp,1,1
dsp.se,1,1
dspis.co.il,2,2
dwarf.bt.co.uk,1,1
dynamicsoft.com,5,5
dynastat.com,1,3
e1sf.ncos.nec.co.jp,1,1
eaccess.net,1,3
east.sun.com,1,1
eastelsystems.com,2,2
