domain,nr_of_mlists,nr_of_localparts
se.nttcom.co.jp,2,2
seattle.telecomsys.com,1,1
sei.co.jp,1,1
semtech.com,1,2
sennheiser.com,4,7
sensateinc.com,2,2
seodu.co.kr,2,2
sepura.com,8,10
sequans.com,5,10
serdev.nttdocomo.co.jp,2,6
seri.co.uk,3,11
ses.com,2,2
setcom.de,5,15
setcom.eu,2,4
seven.com,1,1
sfr.com,1,1
sg.panasonic.com,5,14
sgs.com,9,14
sharp-telecom.co.uk,1,1
sharp.co.jp,10,25
sharplabs.com,10,17
siemens-icn.it,2,3
siemens.at,11,30
siemens.atea.be,2,2
siemens.com,30,174
sierrawireless.com,15,23
sietec.de,1,1
sigfox.com,2,2
sigfx.com,1,1
signalsoftcorp.com,1,1
silverspringnet.com,3,3
sina.com,1,1
sirf.com,9,13
sisl.co.in,1,1
sjtu.edu.cn,2,2
sk.com,8,18
skk.siemens.co.jp,1,1
sktelecom.com,7,13
skyterra.com,1,1
skytl.co.kr,1,1
skyworksinc.com,9,14
smartermicro.com,1,1
sms.at,1,1
smtp.gc.ca,1,1
snaptrack.com,2,2
softarmor.com,2,2
softelsystems.com.au,1,1
softil.com,2,2
sohu.com,1,1
solarismobile.com,1,2
solartt.co.kr,1,1
sonera.com,4,6
sonera.fi,3,4
sonofon.dk,1,1
sonusnet.com,3,4
sony.com,16,48
sonyericsson.com,9,11
sonymobile.com,10,16
sonysard.co.in,1,1
soriano.mobi,1,1
southernco.com,4,4
space.alcatel.fr,3,4
spark.co.nz,2,3
spatialwireless.com,1,1
spg.yrp.nttdocomo.co.jp,2,9
spirent.com,23,32
spirentcom.com,9,12
sporton.com.tw,5,6
spreadtrum.com,7,9
sprint.com,21,40
ss.ts.fujitsu.co.jp,5,9
ss8.com,1,1
st.com,9,14
sta.samsung.com,3,4
staffs.ac.uk,1,1
starentnetworks.com,6,15
starhome.com,2,2
starpointcomm.com,5,9
statesoft.org,2,2
stc.enel.it,1,1
ste.sharp-eu.com,1,1
stericsson.com,15,30
stewe.org,1,1
stingray.qualcomm.com,5,9
stnwireless.com,2,2
straightpath.com,1,1
streamezzo.com,1,2
student.uu.se,1,1
sun.com,2,2
surrey.ac.uk,2,2
swapcom.fr,3,3
swiftnav.com,1,1
swisscom.com,3,4
swr.de,4,4
symbian.com,1,2
symbionics.co.uk,1,1
synctechno.com,11,14
synopsys.com,1,1
sz.huawei.com.cn,2,6
t-com.net,3,3
t-email.de,1,1
t-mobil.de,13,24
t-mobile.at,13,30
t-mobile.co.uk,3,5
t-mobile.com,29,54
t-mobile.de,15,26
t-mobile.net,12,17
t-mobile.nl,1,1
t-modus.co.uk,2,3
t-modus.nec.co.uk,3,8
t-online.de,2,2
t-systems.com,5,9
t-systems.de,1,1
t3gt.com,1,1
taitradio.com,1,1
tandcca.com,1,1
taralnetworks.com,1,2
tari.toshiba.com,1,1
tataelxsi.co.in,2,2
tatarasystems.com,3,4
tcca.info,1,1
tce.com,3,6
tcl.com,2,7
tcl.ite.mee.com,2,5
td-tech.com,5,18
tdc.dk,1,1
tdf.fr,1,3
tdia.cn,3,5
tdk.dk,1,1
team.telstra.com,14,26
techmahindra.com,2,3
technicolor.com,1,1
tecnalia.com,1,1
tecono.fi,1,1
tei.ericsson.se,1,2
tejasnetworks.com,2,2
tejet.cn,2,2
tekcomms.com,1,1
tekelec.com,2,3
tekmar.it,2,4
telchemy.com,1,1
telcordia.com,6,16
telcoware.com,2,2
teleca.com,3,3
telecel.pt,1,1
telecom.mci.mei.co.jp,1,1
telecom.pt,3,3
telecom.samsung.co.kr,4,7
telecom.tno.nl,3,3
telecomitalia.it,38,82
telecomsys.com,3,3
telefonica.com,21,30
telefonica.de,1,1
telefonica.es,2,4
telefonica.net,2,2
telekom.com,4,4
telekom.de,27,53
teleline.es,1,1
telelogic.com,3,3
telenor.com,8,11
telenor.dk,1,1
teleplus.org.uk,1,1
telespazio.com,4,4
telestream.net,1,1
telia.com,1,1
telia.se,17,50
teliacompany.com,7,9
teliasonera.com,23,50
telit.com,1,1
telital.com,3,5
telitas.no,1,1
tellabs.com,2,5
telsis.com,1,1
teltier.com,1,1
telus.com,6,8
telusplanet.net,2,2
telxxis.com,1,1
temc2.com,1,1
tencastle.com,2,3
tencent.com,14,28
tenxc.com,1,1
terra-mobile.com,1,1
terrestar.com,2,2
tgms.demon.co.uk,1,1
thales-navigation.fr,1,1
thalesaleniaspace.com,14,25
thalesgroup.com,14,21
thomson.net,4,9
three.co.uk,14,26
ti.com,11,23
tic.siemens.ca,5,5
tid.es,7,11
tietoenator.com,5,6
tilab.com,14,29
tim.it,2,2
tiscali.dk,1,1
tivr.co.in,1,1
tiw.ca,2,4
tlv.radvision.com,1,1
tmforum.org,1,3
tmn.pt,6,7
tmrnd.com.my,2,2
tno.nl,21,45
toronto.sema.slb.com,1,1
toshiba.co.jp,1,3
toyota-tokyo.tech,1,1
tra.gov.eg,2,2
transat-tech.com,1,1
tri.sbc.com,7,10
trideaworks.com,9,17
trillium.com,2,3
trimail.cingular.com,6,6
trium-rd.com,7,13
trl.mkhar.sharp.co.jp,1,2
tropian.com,1,1
trueposition.com,10,19
tsdsi.in,2,2
tsm.es,9,25
tss.teleca.se,2,2
tt.anritsu.co.jp,2,2
tt.dk,1,1
tta.or.kr,12,18
ttc.or.jp,4,4
ttp.org,3,4
ttpcom.com,8,9
tu-ka.co.jp,1,1
tudhope.ca,1,1
turkcell.com.tr,5,6
tuvps.co.uk,1,1
tw.bureauveritas.com,5,6
twics.com,1,1
twisterconsulting.com,1,1
u-blox.com,5,5
ua.ac.be,1,1
ubinetics.co.in,5,7
ubinetics.com,3,4
ubiquisys.com,2,2
ubiquitysoftware.com,1,1
uic.org,1,1
uk.fujitsu.com,8,15
uk.intervoice.com,1,1
uk.neceur.com,1,1
uk.thalesgroup.com,1,1
ukbroadband.com,1,1
ulticom.com,1,1
unisoc.com,7,28
unitel.co.kr,2,2
upct.es,5,5
upperside.fr,5,5
us.fujitsu.com,1,1
us.ibm.com,3,3
us.toyota-itc.com,2,2
usa.net,1,1
uscellular.com,7,7
users.mns.ru,1,1
usherbrooke.ca,3,4
utimaco.com,1,1
utstar.com,3,4
utulsa.edu,1,1
vads.vodafone.co.uk,3,3
valid.com.es,1,1
vamansolutions.com,1,1
vbtelecom.fr,2,2
vdma.org,1,1
vencorelabs.com,3,6
veolia.com,2,2
verfassungsschutz.de,1,1
verisign.com,1,1
verizon.com,10,11
verizon.net,1,1
verizonwireless.com,24,48
vf.vodafone.co.uk,20,60
via.com.tw,2,2
viaginterkom.de,1,1
video.etri.re.kr,1,1
vidiator.com,1,3
vimatix.com,3,4
virtualpalmtop.net,4,4
vispractice.com,1,1
vivo.com,24,87
vivo.com.cn,1,2
vodafone-us.com,1,1
vodafone.co.uk,10,13
vodafone.com,58,224
vodafone.de,4,5
vodafone.net,1,1
vodafone.nl,1,1
vodafoneomnitel.it,3,3
voiceage.com,1,3
voicestream.com,6,7
vol.cz,1,1
volantesystems.com,1,1
volkswagen-infotainment.com,7,7
vonniman.com,2,2
vtspn.nl,1,1
vtt.fi,1,1
wanadoo.fr,1,1
wavecom.com,2,2
wavecom.fr,6,10
wcs.eraj.ericsson.se,1,1
web.de,3,3
webex.com,1,1
wecertification.com,1,1
wichorus.com,1,1
wilusgroup.com,2,2
wimaxday.com,2,2
winphoria.com,1,1
winse.microsoft.com,1,1
wintegra.co.il,1,1
wipro.com,6,8
wire.cs.nthu.edu.tw,2,2
worldnet.att.net,1,1
wraycastle.com,1,1
wsdc.nml.mot.com,1,1
wsp.yrp.nttdocomo.co.jp,4,13
wtlab.sony.co.jp,1,1
wwite.com,2,2
www.tta.or.kr,1,1
xfera.com,1,1
xiaomi.com,10,37
xilinx.com,2,2
xperi.com,1,3
xs4all.nl,1,1
xypoint.com,1,2
yaana.com,1,1
yaanatech.co.uk,1,1
yaanatech.com,1,2
yahoo.co.in,1,2
yahoo.co.uk,3,3
yahoo.com,17,40
yahoo.com.br,1,1
yahoo.com.cn,2,3
yahoo.de,2,3
yahoo.fr,1,1
yegin.org,2,2
yrp.mci.mei.co.jp,5,6
yulong.com,1,1
zarlink.com,1,1
zeata.co.uk,3,3
zitis.bund.de,1,1
zonnet.nl,1,1
zoomon.com,1,1
zte.com.cn,51,290
zteitaly.com,3,3
ztetx.com,15,22
zteusa.com,7,9
ztewistron.com,1,1
zucotto.com,1,1
zurich.ibm.com,1,1
zwart.com,1,1
